시점,범죄발생장소별,상해,폭행,체포·감금,협박,약취·유인,폭력행위등,공갈,손괴
2016,"아파트, 연립다세대",3966,12523,139,1841,26,483,188,3108
2016,단독주택,3559,9647,110,1878,16,432,208,2914
2016,고속도로,40,120,9,262,0,14,0,30
2016,노상,16759,58794,311,4483,80,6045,736,21985
2016,백화점,24,65,0,6,0,4,0,14
2016,슈퍼마켓,102,285,2,39,0,16,9,69
2016,편의점,188,1052,2,97,0,46,66,208
2016,대형할인매장,16,35,0,4,1,4,4,7
2016,상점,452,1031,12,152,2,100,62,574
2016,"시장,노점",299,509,2,60,1,85,26,262
2016,"숙박업소, 목욕탕",523,952,60,98,11,138,50,586
2016,유흥접객업소,5128,10941,37,745,11,1335,523,2035
2016,사무실,1608,2735,54,608,0,354,319,752
2016,공장,419,482,4,52,0,55,34,138
2016,"공사장,광산",277,342,1,31,0,70,44,188
2016,창고,33,37,2,5,0,4,2,62
2016,"역,대합실",131,446,1,14,1,25,9,84
2016,지하철,24,237,0,10,0,8,2,13
2016,기타교통수단내,233,1182,82,55,4,24,14,81
2016,흥행장,42,96,1,3,0,15,2,23
2016,유원지,496,1175,1,63,3,206,28,129
2016,학교,480,554,8,64,5,137,80,84
2016,금융기관,17,72,1,8,0,3,31,67
2016,의료기관,412,1019,53,132,3,54,36,109
2016,종교기관,102,185,7,35,1,48,13,123
2016,산야,211,187,3,47,0,43,12,1103
2016,해상,35,50,1,2,0,3,0,75
2016,부대,9,23,0,3,0,2,3,1
2016,구금장소,10,26,1,6,0,2,2,0
2016,공지,9,7,0,2,0,2,1,28
2016,주차장,825,2319,20,158,1,228,28,5766
2016,공중화장실,54,101,1,2,1,28,2,43
2016,PC방,77,325,1,14,0,39,134,61
2017,"아파트, 연립다세대",3712,11825,178,1789,23,419,232,3002
2017,단독주택,3000,8302,123,1676,11,317,292,2692
2017,고속도로,46,131,8,112,0,5,2,26
2017,노상,14833,58348,306,4979,76,5280,828,21300
2017,백화점,27,98,0,7,0,4,2,9
2017,슈퍼마켓,93,286,1,27,0,6,21,62
2017,편의점,159,1066,1,107,0,48,42,191
2017,대형할인매장,12,46,1,3,1,3,4,10
2017,상점,373,1026,9,125,1,82,46,477
2017,"시장,노점",259,539,2,64,0,98,32,273
2017,"숙박업소, 목욕탕",492,1054,42,73,8,101,59,620
2017,유흥접객업소,4779,11904,51,700,6,1141,467,2064
2017,사무실,1386,2770,63,566,1,254,307,665
2017,공장,388,451,5,38,0,27,20,107
2017,"공사장,광산",261,416,2,33,0,63,40,177
2017,창고,30,55,3,8,0,8,4,68
2017,"역,대합실",134,524,4,20,4,20,12,82
2017,지하철,28,267,0,8,1,3,0,16
2017,기타교통수단내,222,1357,74,56,1,28,23,78
2017,흥행장,45,101,0,7,0,5,3,21
2017,유원지,414,1127,0,58,3,193,32,99
2017,학교,504,593,7,70,14,149,89,87
2017,금융기관,14,54,0,13,0,9,22,67
2017,의료기관,380,1062,37,99,1,41,19,90
2017,종교기관,144,211,8,37,1,79,10,141
2017,산야,194,169,5,30,1,28,10,1122
2017,해상,35,78,0,4,0,2,1,67
2017,부대,4,37,0,3,0,2,1,1
2017,구금장소,5,27,0,7,0,5,1,1
2017,공지,8,2,1,3,0,1,0,13
2017,주차장,760,2516,38,143,2,269,21,5661
2017,공중화장실,40,107,2,2,0,24,3,33
2017,PC방,74,316,1,19,0,21,33,83
2018,"아파트, 연립다세대",4903,21747,196,3288,26,475,248,5576
2018,단독주택,3856,14760,139,2704,11,313,328,4282
2018,고속도로,42,163,7,93,0,2,3,25
2018,노상,13802,61152,269,5045,83,4470,745,23786
2018,백화점,20,143,1,11,0,4,3,32
2018,슈퍼마켓,119,638,2,49,0,13,9,113
2018,편의점,236,1745,2,175,0,40,43,260
2018,대형할인매장,25,100,1,9,0,3,3,20
2018,상점,468,2059,8,223,1,101,67,1038
2018,"시장,노점",426,1688,10,129,3,143,42,856
2018,"숙박업소, 목욕탕",741,2305,103,180,4,160,68,1537
2018,유흥접객업소,6685,22772,72,1266,2,1440,241,3854
2018,사무실,1450,3784,53,742,4,246,313,826
2018,공장,407,742,5,59,0,31,15,151
2018,"공사장,광산",319,685,0,36,0,54,23,228
2018,창고,42,81,2,9,0,6,0,79
2018,"역,대합실",174,1166,6,45,5,26,17,162
2018,지하철,58,565,0,15,0,6,4,32
2018,기타교통수단내,306,3381,117,114,4,30,24,190
2018,흥행장,65,166,2,14,0,12,2,34
2018,유원지,411,1365,1,68,1,184,30,158
2018,학교,525,853,7,96,15,162,73,128
2018,금융기관,22,109,1,20,0,5,40,100
2018,의료기관,441,1656,38,159,3,49,22,156
2018,종교기관,187,488,9,53,0,95,8,246
2018,산야,124,224,3,39,1,39,11,1264
2018,해상,34,75,0,9,0,7,1,102
2018,부대,10,46,0,6,0,6,2,3
2018,구금장소,10,21,2,7,0,1,4,0
2018,공지,7,15,0,3,0,3,0,36
2018,주차장,901,3076,26,195,1,238,36,7093
2018,공중화장실,75,273,1,6,0,29,3,145
2018,PC방,80,608,1,31,1,35,66,174
2019,"아파트, 연립다세대",5082,25179,234,4431,41,579,255,7079
2019,단독주택,3557,15290,149,3384,26,349,353,4787
2019,고속도로,52,182,6,101,0,3,2,39
2019,노상,12696,58944,259,6367,102,3923,798,23646
2019,백화점,21,125,1,16,0,1,1,27
2019,슈퍼마켓,108,565,0,75,1,10,5,131
2019,편의점,191,1679,4,196,0,32,44,302
2019,대형할인매장,30,114,1,6,0,1,3,28
2019,상점,431,1919,8,246,2,97,85,995
2019,"시장,노점",418,1695,8,152,0,121,51,914
2019,"숙박업소, 목욕탕",704,2188,111,207,11,198,64,1501
2019,유흥접객업소,6539,22138,67,1533,8,1350,409,3981
2019,사무실,1331,3632,69,797,3,257,352,815
2019,공장,336,705,4,67,0,35,13,188
2019,"공사장,광산",253,596,0,60,0,54,16,272
2019,창고,33,88,2,10,0,1,0,89
2019,"역,대합실",162,1156,5,42,3,28,9,163
2019,지하철,54,562,1,16,0,4,3,37
2019,기타교통수단내,345,3267,128,133,3,35,25,213
2019,흥행장,47,209,2,10,0,6,2,40
2019,유원지,366,1471,5,102,5,155,42,153
2019,학교,527,875,8,115,16,177,75,169
2019,금융기관,22,105,1,28,1,5,28,118
2019,의료기관,402,1664,35,176,3,40,31,171
2019,종교기관,116,392,6,45,1,72,7,195
2019,산야,138,215,2,48,0,31,7,1412
2019,해상,25,61,0,12,1,3,0,84
2019,부대,10,51,0,3,0,6,4,0
2019,구금장소,9,30,0,4,0,0,2,3
2019,공지,7,14,0,2,0,2,1,35
2019,주차장,817,3276,16,262,2,207,31,7369
2019,공중화장실,77,287,7,7,2,45,5,150
2019,PC방,94,506,2,33,0,22,61,178
2020,"아파트, 연립다세대",4657,23335,210,4511,38,565,309,7567
2020,단독주택,3240,13417,132,3192,23,344,387,4573
2020,고속도로,55,184,6,106,0,5,1,37
2020,노상,11451,51704,244,6526,78,3401,665,22936
2020,백화점,20,108,2,11,0,2,5,24
2020,슈퍼마켓,108,597,1,75,0,11,11,127
2020,편의점,184,1542,4,241,1,26,84,286
2020,대형할인매장,13,102,0,11,0,1,1,27
2020,상점,416,1768,15,271,1,90,58,977
2020,"시장,노점",386,1301,10,144,3,110,44,853
2020,"숙박업소, 목욕탕",586,1801,110,191,16,147,64,1669
2020,유흥접객업소,5527,18864,60,1467,2,1114,160,3568
2020,사무실,1212,3304,50,729,2,239,297,784
2020,공장,308,687,3,61,0,37,13,175
2020,"공사장,광산",231,576,5,48,0,61,21,227
2020,창고,38,95,2,7,0,4,1,94
2020,"역,대합실",147,925,2,44,3,19,8,161
2020,지하철,31,449,0,15,0,0,1,33
2020,기타교통수단내,250,3123,152,112,3,41,25,196
2020,흥행장,38,147,5,15,0,11,5,36
2020,유원지,326,1105,6,101,6,130,40,162
2020,학교,220,418,10,77,4,87,29,123
2020,금융기관,22,96,2,11,1,7,23,104
2020,의료기관,351,1461,33,141,1,36,29,142
2020,종교기관,73,176,7,45,0,32,7,161
2020,산야,158,243,2,64,0,57,4,1425
2020,해상,23,84,0,11,0,3,0,93
2020,부대,2,51,1,6,0,6,4,3
2020,구금장소,11,24,0,5,0,1,0,2
2020,공지,9,8,0,0,0,2,0,25
2020,주차장,747,3148,19,254,2,219,36,7765
2020,공중화장실,60,244,1,4,0,21,5,139
2020,PC방,78,393,3,39,0,15,47,153
