시점,분류,상해정도별,데이터
2016,폭행,전치2주이하,4899
2016,폭행,전치1개월이하,1176
2016,폭행,전치2개월이하,323
2016,폭행,전치4개월이하,93
2016,폭행,전치6개월이하,12
2016,폭행,전치6개월초과,10
2016,상해,전치2주이하,34808
2016,상해,전치1개월이하,11561
2016,상해,전치2개월이하,2664
2016,상해,전치4개월이하,493
2016,상해,전치6개월이하,110
2016,상해,전치6개월초과,67
2016,협박,전치2주이하,149
2016,협박,전치1개월이하,32
2016,협박,전치2개월이하,8
2016,협박,전치4개월이하,0
2016,협박,전치6개월이하,0
2016,협박,전치6개월초과,0
2016,공갈,전치2주이하,25
2016,공갈,전치1개월이하,5
2016,공갈,전치2개월이하,2
2016,공갈,전치4개월이하,2
2016,공갈,전치6개월이하,0
2016,공갈,전치6개월초과,0
2016,약취·유인,전치2주이하,4
2016,약취·유인,전치1개월이하,2
2016,폭력행위등,전치2주이하,3436
2016,폭력행위등,전치1개월이하,1700
2016,폭력행위등,전치2개월이하,443
2016,폭력행위등,전치4개월이하,79
2016,폭력행위등,전치6개월이하,17
2016,폭력행위등,전치6개월초과,7
2017,폭행,전치2주이하,3972
2017,폭행,전치1개월이하,1053
2017,폭행,전치2개월이하,323
2017,폭행,전치4개월이하,76
2017,폭행,전치6개월이하,17
2017,폭행,전치6개월초과,9
2017,상해,전치2주이하,30041
2017,상해,전치1개월이하,10795
2017,상해,전치2개월이하,2641
2017,상해,전치4개월이하,462
2017,상해,전치6개월이하,110
2017,상해,전치6개월초과,84
2017,협박,전치2주이하,127
2017,협박,전치1개월이하,29
2017,협박,전치2개월이하,9
2017,협박,전치4개월이하,3
2017,협박,전치6개월이하,0
2017,협박,전치6개월초과,0
2017,공갈,전치2주이하,21
2017,공갈,전치1개월이하,5
2017,공갈,전치2개월이하,3
2017,공갈,전치4개월이하,0
2017,공갈,전치6개월이하,0
2017,공갈,전치6개월초과,0
2017,약취·유인,전치2주이하,1
2017,약취·유인,전치1개월이하,1
2017,약취·유인,전치2개월이하,2
2017,약취·유인,전치4개월이하,0
2017,약취·유인,전치6개월이하,0
2017,약취·유인,전치6개월초과,0
2017,폭력행위등,전치2주이하,2593
2017,폭력행위등,전치1개월이하,1424
2017,폭력행위등,전치2개월이하,398
2017,폭력행위등,전치4개월이하,71
2017,폭력행위등,전치6개월이하,12
2017,폭력행위등,전치6개월초과,8
2018,폭행,전치2주이하,3933
2018,폭행,전치1개월이하,1105
2018,폭행,전치2개월이하,314
2018,폭행,전치4개월이하,102
2018,폭행,전치6개월이하,23
2018,폭행,전치6개월초과,13
2018,상해,전치2주이하,24865
2018,상해,전치1개월이하,9243
2018,상해,전치2개월이하,2248
2018,상해,전치4개월이하,477
2018,상해,전치6개월이하,129
2018,상해,전치6개월초과,79
2018,협박,전치2주이하,127
2018,협박,전치1개월이하,39
2018,협박,전치2개월이하,6
2018,협박,전치4개월이하,1
2018,협박,전치6개월이하,0
2018,협박,전치6개월초과,0
2018,공갈,전치2주이하,31
2018,공갈,전치1개월이하,1
2018,공갈,전치2개월이하,0
2018,공갈,전치4개월이하,0
2018,공갈,전치6개월이하,0
2018,공갈,전치6개월초과,0
2018,약취·유인,전치2주이하,2
2018,약취·유인,전치1개월이하,0
2018,약취·유인,전치2개월이하,0
2018,약취·유인,전치4개월이하,0
2018,약취·유인,전치6개월이하,0
2018,약취·유인,전치6개월초과,0
2018,폭력행위등,전치2주이하,1862
2018,폭력행위등,전치1개월이하,1083
2018,폭력행위등,전치2개월이하,313
2018,폭력행위등,전치4개월이하,52
2018,폭력행위등,전치6개월이하,9
2018,폭력행위등,전치6개월초과,6
2019,폭행,전치2주이하,3568
2019,폭행,전치1개월이하,1065
2019,폭행,전치2개월이하,307
2019,폭행,전치4개월이하,98
2019,폭행,전치6개월이하,7
2019,폭행,전치6개월초과,8
2019,상해,전치2주이하,22935
2019,상해,전치1개월이하,8276
2019,상해,전치2개월이하,2225
2019,상해,전치4개월이하,442
2019,상해,전치6개월이하,97
2019,상해,전치6개월초과,72
2019,협박,전치2주이하,145
2019,협박,전치1개월이하,40
2019,협박,전치2개월이하,7
2019,협박,전치4개월이하,2
2019,협박,전치6개월이하,0
2019,협박,전치6개월초과,0
2019,공갈,전치2주이하,16
2019,공갈,전치1개월이하,7
2019,공갈,전치2개월이하,0
2019,공갈,전치4개월이하,0
2019,공갈,전치6개월이하,1
2019,공갈,전치6개월초과,0
2019,약취·유인,전치2주이하,3
2019,약취·유인,전치1개월이하,0
2019,약취·유인,전치2개월이하,0
2019,약취·유인,전치4개월이하,0
2019,약취·유인,전치6개월이하,0
2019,약취·유인,전치6개월초과,0
2019,폭력행위등,전치2주이하,1610
2019,폭력행위등,전치1개월이하,944
2019,폭력행위등,전치2개월이하,295
2019,폭력행위등,전치4개월이하,41
2019,폭력행위등,전치6개월이하,7
2019,폭력행위등,전치6개월초과,5
2020,폭행,전치2주이하,3080
2020,폭행,전치1개월이하,992
2020,폭행,전치2개월이하,306
2020,폭행,전치4개월이하,77
2020,폭행,전치6개월이하,12
2020,폭행,전치6개월초과,8
2020,상해,전치2주이하,19960
2020,상해,전치1개월이하,7315
2020,상해,전치2개월이하,2052
2020,상해,전치4개월이하,355
2020,상해,전치6개월이하,92
2020,상해,전치6개월초과,70
2020,협박,전치2주이하,148
2020,협박,전치1개월이하,32
2020,협박,전치2개월이하,8
2020,협박,전치4개월이하,5
2020,협박,전치6개월이하,0
2020,협박,전치6개월초과,0
2020,공갈,전치2주이하,15
2020,공갈,전치1개월이하,4
2020,공갈,전치2개월이하,1
2020,공갈,전치4개월이하,0
2020,공갈,전치6개월이하,0
2020,공갈,전치6개월초과,0
2020,약취·유인,전치2주이하,3
2020,약취·유인,전치1개월이하,2
2020,약취·유인,전치2개월이하,0
2020,약취·유인,전치4개월이하,0
2020,약취·유인,전치6개월이하,0
2020,약취·유인,전치6개월초과,0
2020,폭력행위등,전치2주이하,1401
2020,폭력행위등,전치1개월이하,790
2020,폭력행위등,전치2개월이하,246
2020,폭력행위등,전치4개월이하,36
2020,폭력행위등,전치6개월이하,6
2020,폭력행위등,전치6개월초과,3
